 ,TRADHBZ128F932D9E9,Nic Endo,Future Prospects,1.00E-05,0.507789
 ,TRAKOWI12903D04402,James Newton Howard,U North,0.022014,0.140959
 ,TRADKYH128F42788EA,Elliot Goldenthal,Vortex,0.024834,0.153687
 ,TRAQLNE128F42AC1AF,Judas Iscariot,Babylon,0.024879,0.997843
 ,TRAKEKO128F9331A6C,Forensics,I Need To Talk To Hank Hank,0.026942,0.114889
 ,TRARPOL128F92F5973,UK Subs,Tomorrows Girls (Live),0.028382,0.999084
 ,TRADBIA128F14AD4C5,Alexandre Desplat,The Epi-Pen,0.028995,0.241745
 ,TRAPSEQ128F932E8F2,Angelo Badalamenti,Vera Begs Dylan,0.029584,0.196057
 ,TRAKYKW12903CCBD27,Sean Quinn,Skyline,0.031005,0.626358
 ,TRAFINB128F426E2F1,John Tchicai,Musica Sacra Nova: Morgen I Frydenlund,0.031253,0.080783
 ,TRAATBN128F14ACE82,James Horner,Atmosphere Station,0.031822,0.006698
 ,TRAEGRU128F9358874,Michael Whalen,A New Heart,0.031835,0.302685
 ,TRAIRSH128F92E4B18,Marco Beltrami,Revelations,0.03204,0.02314
 ,TRALIKY128F930B3BE,Jane Winther,Om,0.032415,0.006929
 ,TRAEUGG128E07826F2,William Orbit,The Monkey King,0.032466,0.031043
 ,TRANAZC128F9344921,William Goldstein,Bartholdi's Dream,0.032659,0.07263
 ,TRAFLYL128F932DB93,Atari Teenage Riot,Live At Brixton Academy 1999,0.03286,0.676601
 ,TRAALNG12903D014E9,Enthroned,The Vitalized Shell,0.032875,0.993313
 ,TRAEXGP128F4283791,Jane Winther,Deep Voices,0.032884,0.105604
 ,TRAKJAE128F92DCC67,Sean Callery,Jack and Benton,0.033097,0.035948
 ,TRAHHMM128F932D5D9,Sonic Subjunkies,Turntable Terrorist,0.033124,0.972097
 ,TRAASSO12903CDD2FF,Ultraviolence,Murder Academy,0.033585,0.942246
 ,TRALZBV128F4250E60,The Knife,The Captain,0.033686,0.354914
 ,TRAICDV128F92EE216,Shaman,Battle Of The Tom Tom,0.033706,0.720136
 ,TRAIIRM128F933E946,Pumpkin Buzzard,The Buzzard's Back in Town (Live),0.034247,0.994776
 ,TRAJTCX128F42990AD,Diamanda Galas,Vena Cava 8,0.034455,0.002461
 ,TRAAVJL128F14ACADD,Angelo Badalamenti,Jeffrey's Dark Side,0.034482,0.024662
 ,TRAHLMD128F146A75F,Photek,Under The Palms,0.034539,0.267663
 ,TRAEBPU12903CE743E,Bill Laswell,The Gary Selchie - Solas,0.034662,0.196004
 ,TRAPYML128F423DF98,A Skylit Drive,Ability To Create A War,0.034698,0.718624
 ,TRALHCG128F4264232,Jack Miles,Nuits Orientales,0.034731,0.881892
 ,TRADTWP128F932A987,Marco Beltrami,Past Meets Present,0.03479,0.120956
